book_name,status,is_ebook
Human Anatomy Laboratory Manual with Cat Dissections,Hold: Supervisor Needs to Review,False
Human Anatomy,Completed - 04 Dis: Need proof of purchase from student,False
Modified Mastering A&P with Pearson eText -- Standalone Access Card -- for Human Anatomy,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Conceptual Physics,Not Specified,False
MyLab Statistics with Pearson eText -- Standalone Access Card -- for Business Statistics,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
FASHION BY DESIGN,Completed - 04 Dis: Need proof of purchase from student,False
Miami OH: Loose Leaf Marketing the Core; Connect Access Card,Completed - 04 Dis: Need proof of purchase from student,False
Connect Master Principles of Economics 1-Semester Online Access,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Lifespan Development,Completed - 04 Dis: Complete (Available at Bookshare.org),False
ENVIRONMENTAL GEOLOGY,Completed - 04 Dis: Need proof of purchase from student,False
The Classic Fairy Tales,Completed - 04 Dis: Complete (Available at Bookshare.org),False
GREAT FAIRY TALE TRADITION,Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Madhouse Effect,Completed - 04 Dis: Need proof of purchase from student,False
Introducing Physical Geography,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Survey of Accounting,Completed - 04 Dis: Need proof of purchase from student,False
Vander's Human Physiology,Completed - 04 Dis: Need proof of purchase from student,False
"Organic Chemistry, 4e for Miami University (Oxford) WileyPLUS Next Gen Card Custom 2 Semesterwith Loose-leaf and Molecular Model Kit 7e Set",Completed - 04 Dis: Need proof of purchase from student,False
Evolutionary Analysis,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Business Statistics Student Value Edition Plus MyLab Statistics with Pearson eText,Completed - 04 Dis: Need proof of purchase from student,False
Modified Mastering Biology with Pearson eText -- Access Card -- for Campbell Biology (18-Weeks),Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Gen Combo LL Wardlaw's Contemporary Nutrition; Connect Access Card,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
General Chemistry 145 lab manual AY22,Completed - 04 Dis: Need proof of purchase from student,False
Mastering Chemistry with eText Stand Alone Access Card for Chemistry: The Central Science for [MIAMI UNIVERSITY OXFORD],Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
BIO/MBI 116 Laboratory Manual and Online Course,Hold: Supervisor Needs to Review,False
Campbell Biology,Completed - 04 Dis: Need proof of purchase from student,False
Introduction to Sociology,Completed - 04 Dis: Need proof of purchase from student,False
"MindTap for Wilson/Dilulio/Bose/Levendusky's American Government: Institutions and Policies, 1 term Printed Access Card",Completed - 04 Dis: Need proof of purchase from student,False
Cengage Unlimited 4 months Access Code,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
"LL: Principles of Economics: COVID-19 Update (Ebook, Smartwork, InQuizitive, and Videos)",Completed - 04 Dis: Complete (Available at Bookshare.org),False
"Principles of Economics: COVID-19 Update (with Ebook, Smartwork, InQuizitive, and Videos)",Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
The International Reader: Interdisciplinary Perspectives on Current Events and Global Issues (Revised 1st Edition),01 Prep: Need to Scan - unavailable,False
BIO/MBI 116 Laboratory Manual and Online Course,01 Prep: Need to Scan - unavailable,False
ESP 101,Not Specified,False
Comparative Politics [RENTAL EDITION],Completed - 04 Dis: Need proof of purchase from student,False
Social Psychology Paperback + Digital Product License Key Folder  with Ebook and InQuizitive,Completed - 04 Dis: Complete (Available at Bookshare.org),False
My Body Politic,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Soñadores,Not Specified,False
Modified Mastering Biology with Pearson eText -- Access Card -- for Campbell Biology (18-Weeks),Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Campbell Biology,Completed - 04 Dis: Need proof of purchase from student,False
Mastering Chemistry with eText Stand Alone Access Card for Chemistry: The Central Science for [MIAMI UNIVERSITY OXFORD],Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
MyLab Statistics with Pearson eText -- Standalone Access Card -- for Business Statistics,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Business Statistics Plus MyLab Statistics with Pearson eText -- Access Card Package,Completed - 04 Dis: Need proof of purchase from student,False
A Smarter Way to Learn Python,Completed - 04 Dis: Need proof of purchase from student,False
Foundations of Business Communication: Rhetoric for Business Professionals,Completed - 04 Dis: Need proof of purchase from student,False
Talking to Humans: Success starts with understanding your customers,Completed - 04 Dis: Need proof of purchase from student,False
Value Proposition Design: How to Create Products and Services Customers Want,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Fun Home : A Family Tragicomic,Completed - 00 Order Fullfilled,False
