book_name,status,is_ebook
MyMathLab -- Standalone Access Card (1 Year or Course Duration),Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
PRINCIPLES OF MICROECONOMICS                                          ,Completed - 04 Dis: Need proof of purchase from student,False
Essentials of Social Media Marketing/Mimic Social Bundle,Not Specified,False
"Introduction to Women's, Gender and Sexuality Studies Interdisciplinary and Intersectional Approaches",Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Brief Wondrous Life of Oscar Wao,Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Associated Press Stylebook 2019,Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Associated Press Stylebook 2019,Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Associated Press Stylebook 2018,Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Associated Press Stylebook 2018,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Loose-leaf Version for Media & Culture An Introduction to Mass Communication,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Loose-leaf Version for Media & Culture An Introduction to Mass Communication,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Loose-leaf Version for Media & Culture An Introduction to Mass Communication,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Loose-leaf Version for Media & Culture An Introduction to Mass Communication,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Loose-leaf Version for Media & Culture An Introduction to Mass Communication,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Loose-leaf Version for Media & Culture An Introduction to Mass Communication,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Loose-leaf Version for Media & Culture An Introduction to Mass Communication,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Loose-leaf Version for Media & Culture An Introduction to Mass Communication,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Loose-leaf Version for Media & Culture An Introduction to Mass Communication,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Antiracism and Universal Design for Learning,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Antiracism and Universal Design for Learning,Completed - 04 Dis: Complete (Available at Bookshare.org),False
"Inequality: A Contemporary Approach to Race, Class, and Gender (Revised)",Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Screen Writer's Bible,Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Screen Writer's Bible,Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Screen Writer's Bible,Completed - 04 Dis: Complete (Available at Bookshare.org),False
"Reading, Writing, and Talk",Completed - 04 Dis: Complete (Available at Bookshare.org),False
"Reading, Writing, and Talk",Completed - 04 Dis: Complete (Available at Bookshare.org),False
Motor Learning and Performance,Completed - 04 Dis: Need proof of purchase from student,False
Top Hat 4 Month Subscription,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Miami University of OH Oxford: Connect Access Card for Human Biology,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
The Routledge Queer Studies Reader,Completed - 00 Order Fullfilled,False
Human Development Traditional and Contemporary Theories,Completed - 00 Order Fullfilled,False
Whistling Vivaldi: How Stereotypes Affect Us and What We Can Do,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Microeconomics: Principles & Policy,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Miami OH: General Chemistry Lab Manual 2022-2023,Completed - 04 Dis: Need proof of purchase from student,False
Mastering Chemistry with eText Stand Alone Access Card for Chemistry: The Central Science for [MIAMI UNIVERSITY OXFORD],Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Little Fish,Completed - 00 Order Fullfilled,False
Ecology: The Economy of Nature,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Global Aging,Completed - 04 Dis: Need proof of purchase from student,False
"Golosa A Basic Course in Russian, Book Two",Hold: Supervisor Needs to Review,False
"Student Activities Manual for Golosa A Basic Course in Russian, Book Two",01 Prep: Requested files from AccessText,False
The Politics of Intergovernmental Relations,Hold: Supervisor Needs to Review,False
World Architecture: A Cross-Cultural History,Completed - 04 Dis: Need proof of purchase from student,False
Contrase?a: Your Password to Foundational Spanish 4.0,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Special Education Contemporary Perspectives for School Professionals,Completed - 04 Dis: Complete (Available at Bookshare.org),False
College Physics: A Strategic Approach,Completed - 04 Dis: Need proof of purchase from student,False
ACSM's Fitness Assessment Manual,Completed - 04 Dis: Complete (Available at Bookshare.org),False
ACSM's Guidelines for Exercise Testing and Prescription,Completed - 04 Dis: Need proof of purchase from student,False
